Entity,Continents,Code,Year,"Cardiovascular diseases per 100,000 people, in both sexes aged all ages"
Brazil,South America,BRA,2000,227.87212
Brazil,South America,BRA,2001,220.64336
Brazil,South America,BRA,2002,215.6903
Brazil,South America,BRA,2003,212.65184
Brazil,South America,BRA,2004,213.84517
Brazil,South America,BRA,2005,205.85777
Brazil,South America,BRA,2006,209.98775
Brazil,South America,BRA,2007,204.98192
Brazil,South America,BRA,2008,202.27617
Brazil,South America,BRA,2009,196.8723
Brazil,South America,BRA,2010,193.46474
Brazil,South America,BRA,2011,189.59349
Brazil,South America,BRA,2012,180.5036
Brazil,South America,BRA,2013,176.5317
Brazil,South America,BRA,2014,170.17558
Brazil,South America,BRA,2020,141.09558
Brazil,South America,BRA,2019,144.86647
Brazil,South America,BRA,2018,152.26978
Brazil,South America,BRA,2017,158.77507
Brazil,South America,BRA,2016,166.9389
Brazil,South America,BRA,2015,168.29199
Brunei,Asia,BRN,1996,220.57974
Brunei,Asia,BRN,1997,201.36131
Brunei,Asia,BRN,1998,261.40506
Brunei,Asia,BRN,1999,239.70789
Brunei,Asia,BRN,2000,239.88377
Brunei,Asia,BRN,2001,221.7932
Brunei,Asia,BRN,2002,286.4413
Brunei,Asia,BRN,2003,294.29205
Brunei,Asia,BRN,2004,209.12976
Brunei,Asia,BRN,2005,198.38692
Brunei,Asia,BRN,2006,211.4921
Brunei,Asia,BRN,2007,195.5907
Brunei,Asia,BRN,2008,181.6494
Brunei,Asia,BRN,2009,173.27469
Brunei,Asia,BRN,2010,155.09883
Brunei,Asia,BRN,2011,139.88615
Brunei,Asia,BRN,2012,121.01305
Brunei,Asia,BRN,2013,155.97282
Brunei,Asia,BRN,2014,173.92519
Brunei,Asia,BRN,2019,169.3704
Brunei,Asia,BRN,2018,167.29361
Brunei,Asia,BRN,2017,169.22372
Brunei,Asia,BRN,2016,117.23448
Brunei,Asia,BRN,2015,142.12685
Bulgaria,Europe,BGR,1964,356.1122
Bulgaria,Europe,BGR,1965,373.72046
Bulgaria,Europe,BGR,1966,380.6369
Bulgaria,Europe,BGR,1967,394.2732
